2012-09-17 19:53:15 Notice: Notice (8): Array to string conversion in [/homepages/17/d278810503/htdocs/peterpincus/cake/libs/model/datasources/dbo_source.php, line 749]
2012-09-17 22:56:16 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2012-09-17 22:56:16 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2012-09-17 22:56:16 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2012-09-17 22:58:25 Notice: Notice (8): Trying to get property of non-object in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/for_sale.ctp, line 63]
2012-09-17 22:59:07 Notice: Notice (8): Trying to get property of non-object in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/for_sale.ctp, line 63]
2012-09-18 01:03:33 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2012-09-18 01:03:33 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2012-09-18 01:03:33 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2012-09-18 06:59:41 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 79]
2012-09-18 06:59:41 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 82]
2012-09-18 06:59:41 Notice: Notice (8): Undefined offset:  0 in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/index.ctp, line 83]
2012-09-18 20:36:41 Notice: Notice (8): Undefined index:  id in [/homepages/17/d278810503/htdocs/peterpincus/app/views/pieces/admin_edit.ctp, line 22]
